Title,Year,Barcode,,
Captain Phillips,2013,,,
Carrie,1976,,,
Cars,,,,
Cars 2,,,,
Case 39,2009,,,
Casino,,,,
James Bond: Casino Royale,,,,
Cast Away,,,,
Cat People,,,,
Central Intelligence,,,,
Chinatown,,,,
"Chronicles of Narnia: Prince Caspian, The",,,,
"Chronicles of Narnia: The Lion, the Witch, and the Wardrobe, The",,,,
"Chronicles of Narnia: The Voyage of the Dawn Treader, The",,,,
"Clockwork Orange, A",,,,
Close Encounters of the Third Kind,1977,,,
Collateral,,,,
Crocodile Dundee,,,,
"Da Vinci Code, The",,,,
"Dark Knight Rises, The",,,,
"Dark Knight, The",,,,
Dawn of the Planets of the Apes,,,,
Dead Men Don't Wear Plaid,,,,
Deadpool,,,,
Demolition Man,,,,
Den d�r Mary - och mycket mer!,,,,
Den nakna pistolen,,,,
"Departed, The",,,,
Desierto,,,,
Det v�ras f�r Frankenstein,,,,
Det V�ras f�r Sheriffen,,,,
Det v�ras f�r Sheriffen,,,,
Die Hard,,,,
Dirty Dancing,,,,
Dirty Grandpa,,,,
Dirty Harry,,,,
Dirty Harry: Magnum Force,,,,
Django,,,,
Django Unchained,,,,
Don't Breath,,,,
Dr. Strange,,,,
Drag me to Hell,,,,
Drive,,,,
Dum och Dummare,,,,
Dum och Dummare 2,,,,
Dunkirk,2017,,,
D�dligt Vapen,,,,
Ed Wood,,,,
Edge of Tomorrow,,,,
Edward Scissorhands,,,,
"Eiger Sanction, The",1975,,,
En Amerikansk Varulv i London,,,,
En man som heter Ove,,,,
"En v�rldsomsegling under havet (20,000 League Under the Sea)",1954,,,
Enchanted,2007,,,
Ensam hemma,,,,
Ensam hemma 2: Vilse i New York,,,,
Escape from Alcatraz,1979,,,
Everest,2015,,,
Evil Dead,,,,
Ex Machina,2014,,,
Falling Down,,,,
Fantastic 4,,,,
Fargo,,,,
Fast and Furious,,,,
"Fast and the Furious, The",,,,
Fight Club,,,,
Final Fantasy,,,,
Finding Neverland,,,,
"Fish Called Wanda, A",,,,
Focus,,,,
Forrest Gump,,,,
"Four Feathers, The",2002,,,
Free Solo,2018,,,
Frozen,,,,
Fuck �m�l,,,,
"Fugitive, The",,,,
Fury,2014,,,
Gangs of New York,,,,
Get Out,2017,,,
Ghost,,,,
Ghost Busters,,,,
Ghost Rider,,,,
Gladiator,,,,
"Godfather, The",,,,
Godzilla (Japanska Orginalet),,,,
Godzilla,2014,,,
Gone Girl,,,,
Good Fellas,,,,
"Good, the Bad, the Ugly, The",,,,
"Grand Budapest Hotel, The",,,,
Gravity,,,,
Green Book,2018,,,
Gregory's Girl,,,,
"Grimsby Brothers, The",,,,
Guardians of the Galaxy,,,,
Guardians of the Galaxy 2,,,,
Hajen,,,,
Hancock,,,,
"Hangover, The",,,,
Harry Potter och de Vises Sten,,,,
Harry Potter och den Flammande b�garen,,,,
"Harry Potter och D�dsrelikerna, del 1",,,,
"Harry Potter och D�dsrelikerna, del 2",,,,
Harry Potter och Fenixorden,,,,
Harry Potter och F�ngen Fr�n Azkaban,,,,
Harry Potter och Halvblodsprinsen,,,,
Harry Potter och Heligheternas Kammare,,,,
The Hateful Eight,2015,,,
Heat,,,,
"Heat, The",,,,
Hector and the search for Happiness,,,,
Hellboy,,,,
Hellboy 2: The golden Army,,,,
Her,2013,,,
Highlander,,,,
Highlander,,,,
Hip Hip Hora,,,,
Hipp Hipp Hora,,,,
"Hitman's Bodyguard, The",2017,,,
Hitta Nemo,,,,
"Hobbit: An Unexpected Journey, The",,,,
Hobbit: The battle of the Five Armies,,,,
"Hobbit: The Desolation of Smaug, The",,,,
Hot Fuzz,2007,,,
Hot shots 2,,,,
Hot Shots: H�jdarna,,,,
Hulk,,,,
"Hunger Games, The",2012,,,
"Hunger Games, The: Catching fire",2013,,,
"Hurt Locker, The",,,,
I am Legend,2007,,,
I am Wrath,2016,,,
I rymden finns inga k�nslor,,,,
"I, Robot",,,,
"I, Tonya",2018,,,
Illusionisten,,,,
"Imaginarium of Doctor Parnassus, The",,,,
"Imitation Game, The",,,,
In the heat of the night,1967,,,
Inception,,,,
"Incredible Hulk, The",,,,
"Incredibles 2, The",2018,,,
Indiana Jones and the Kingdom of the Crystal Skull,,,,
Indiana Jones and the Last Crusade,,,,
Indiana Jones and the Temple of Doom,,,,
Indiana Jones: Kristalld�dskallens rike,,,,
Indiana Jones: Raider of the Lost Ark,,,,
Inferno,,,,
Inside out,,,,
Interstellar,,,,
"Interview, The",,,,
"Intouchables, The",,,,
Iron Man,,,,
Iron Man 2,,,,
Iron Man 3,2013,8717418468347,,
It (2017),,,,
The Italian Job,2003,,,
Ivanhoe,,,,
Jack Reacher,,,,
James Bond: Diamonds are Forever,,,,
James Bond: Die Another Day,,,,
James Bond: Gold Finger,,,,
James Bond: Live and Let Die,,,,
James Bond: The Man with the Golden Gun,,,,
James Bond: Moonraker,,,,
James Bond: Spectre,,,,
James Bond: Thunderball,,,,
Jiddra inte med Zohan,,,,
Jobs,,,,
John Carter,,,,
John Wick,,,,
John Wick 2,,,,
Joker,2019,,,
Joy,2015,,,
Jultomten och paniken i leksaksfabriken,,,,
Jurrasic Park,,,,
"Karate Kid Part II, The",1986,,,
"Karate Kid Part II, The",1986,,,
"Karate Kid, The",2010,,,
"Karate Kid, The",1984,,,
"Karate Kid, The",1984,,,
Kellys Hj�ltar,,,,
Kick-Ass,,,,
Kick-Ass 2,,,,
Kill Bill,,,,
Kill Bill Vol.2,,,,
King Arthur: Legend of the Sword,2017,,,
King Kong,,,,
King Kong (1933),,,,
"King's Speech, The",,,,
Kingsman: The Golden Circle,2017,,,
Kingsman: The Secret Service,,,,
Knight and Day,,,,
Kong Island,,,,
Kramer vs. Kramer,1979,,,
L.A Story,1991,,,
L.A. Confidential,1997,,,
LA Confidential,1997,,,
La Femme Nikita,,,,
Labor Day,2013,,,
Lady Bird,2017,,,
Lawrance av Arabien,,,,
Learning to Drive,2014,,,
L�on,,,,
Liar Liar,,,,
Librarian 3: The curse of the Judas chalice,,,,
"Lion King, The",,,,
"Lock, stock and two smoking barrels",,,,
Looper,2012,,,
Lucy,2014,,,
Mad Max,,,,
Mad Max: Fury Road,,,,
Madagaskar,,,,
Mama,2013,,,
Mamma Mia: The movie,,,,
Man of steel,,,,
Man on a ledge,,,,
"Man with two brains, The",,,,
Mardr�msjakten,,,,
Marry Poppins,1964,,,
"Martian, The",,,,
"Mask, The",,,,
"Matrix, The",,,,
"Maze Runner, The",,,,
Maze Runner: Scorch Trials,,,,
Memento,2000,,,
Men in black,,,,
Men in Black,,,,
Men in black 2,,,,
Men in Black 2,,,,
Men in black 3,,,,
Men in Black 3,,,,
Michael Clayton,2007,,,
Michael Clayton,2007,,,
Minority Report,,,,
Mission impossible,,,,
Mission impossible :Rogue Nation,,,,
Mission impossible: Ghost Protocol,,,,
"Mist, The",,,,
Mitt stora feta grekiska br�llop,,,,
Monster House,,,,
"Monsters, Inc",,,,
Monty Python's: Holy Grail,,,,
Monty Pythons - Live � Python,,,,
Mr Brooks,2007,,,
Mr Holmes,2015,,,
Mr. Popper's Penguins,,,,
Mumien,,,,
Naked gun 2 1/2,,,,
Naked gun 33 1/3,,,,
"Name of the Rose, The",,,,
Neverland,2011,,,
Night at the Museum,,,,
Night at the Museum: Battle of the Smithsonian,,,,
Night at the Museum: Secret of the Tomb,,,,
No country for old men,,,,
Non-Stop,,,,
Notting Hill,,,,
Now you see me,,,,
Now you see me 2,,,,
Nyckeln till frihet,,,,
"O Brother, Where Art Thou?",,,,
Ocean's 11,,,,
Ocean's Eleven,,,,
Ocean's Thirteen,,,,
Ocean's Twelve,,,,
"Omen, The",,,,
On Her Majesty's Secret Service,1969,,,
Once upon a time in the west,,,,
Pacific Rim,,,,
Paparazzi,,,,
"Party, The",,,,
Patriot Games,,,,
Paul Blart: Mall Cop,,,,
Paul Blart: Mall Cop 2,,,,
Phantom of the Paradise,,,,
"Pink Panther Strikes Again, The",,,,
The Pink Panther,2006,,,
Pirates of the Carribean: At world's end,,,,
Pirates of the Carribean: Dead man's chest,,,,
Pirates of the Carribean: Dead men tell no tales/Salazar's revenge,,,,
Pirates of the Carribean: On stranger tides,,,,
Pirates of the Carribean: The curse of the Black Pearl,,,,
Planet of the Apes (1968),,,,
Platoon,1986,,,
"Polar Express, The",,,,
Poltergeist,,,,
Predetor,,,,
"Prestige, The",,,,
Pretty Woman,,,,
Prometheus,,,,
Pulp Fiction,,,,
James Bond: Quantum of Solace,,,,
Quiz Show,,,,
Rain man,,,,
Ransom,,,,
Red,,,,
Red 2,,,,
"Revenant, The",2015,,,
"Ring, The",2002,,,
Rio,,,,
Robin Hood (2010),,,,
RoboCop (1987),,,,
RoboCop (2014),,,,
Rocky,,,,
Ronin,1998,,,
"Room, The",,,,
Roxanne,,,,
Rush,,,,
Sagan om Ringen: H�rskarringen,,,,
Sagan om Ringen: Sagan om de tv� tornen,,,,
Sagan om ringen: Sagan om konungens �terkomst,,,,
Salt,,,,
Scarface,,,,
Scary Movie 1,,,,
Scary Movie 2,,,,
Scary Movie 3,,,,
Scary Movie 4,,,,
Scary Movie 5,,,,
Scream,,,,
Scream 4,,,,
Se upp f�r d�rarna,,,,
"Secret Life of Walter Mitty, The",,,,
Seven,,,,
Shape of Water,,,,
Sherlock Holmes,,,,
Sherlock Holmes: A game of shadows,,,,
"Shining, The",,,,
Shooter,2007,,,
Shrek,,,,
Shrek 2,,,,
Shrek 3,,,,
Silence of the Lambs,,,,
Silver Linings Playbook,2012,,,
Simpsons - The Movie,,,,
Sin city,,,,
James Bond: Skyfall,,,,
Slumdog Millionaire,,,,
Snatch,,,,
Source Code,2011,,,
Speed,,,,
Spider-Man 1,,,,
Spider-Man 2,,,,
Spider-Man 3,,,,
Spider-Man: Far from Home,2019,,,
Spider-Man: Homecoming,,,,
Spirited away,,,,
Splash,,,,
Star Trek Beyond,,,,
Star Wars Episode 1: The phantom menace,,,,
Star Wars Episode 2: Attack of the Clones,,,,
Star Wars Episode 3: Revenge of the Sith,,,,
Star Wars Episode 4: A new hope,,,,
Star Wars Episode 5: The Empire strikes back,,,,
Star Wars Episode 6: Return of the Jedi,,,,
Star Wars: Rogue One,,,,
Star Wars: The clone wars,,,,
Star Wars: The force awakens,,,,
Star Wars: The last jedi,,,,
Stardust,,,,
Starsky and Hutch,,,,
"Station Agent, The",2003,,,
Stormship Troopers,,,,
Stunt Man,,,,
Subway,,,,
Suicide Squad,,,,
Surf's Up,,,,
Taken 1,,,,
Taken 2,,,,
Taken 3,,,,
Tangled,2010,,,
Taxi Driver,,,,
Team America: World Police,,,,
Ted,,,,
Terminator,,,,
Terminator 2,,,,
Terminator: Salvation,,,,
The 40-Year-Old Virgin,2005,,,nr 500
The Boat That Rocked,,,,
The Bourne Legacy,2012,,,
The Bourne Supremacy,2004,,,
The Equalizer,2014,,,
The Exorcist,1973,,,
The Expednables,,,,
The Fifth Element,,,,
The Fly,1986,,,
The Host,,,,
The Hunt for Red October,1990,,,
The Infiltrator,,,,
The Interpreter,2005,,,
The Jungle Book,2019,,,
The Lady,2011,,,
The Lincoln Lawyer,2011,,,
The Lion King,2019,,,
The Mist,2007,,,
The Purge,2013,,,
The Terminal,2004,,,
The Usual Suspects,,,,
The Whole Nine Yards,2000,,,
"Thing, The",,,,
Thor,,,,
Thor: Ragnar�k,,,,
Thor: The dark world,,,,
"Three Musketeers, The",,,,
Tinker Tailor Soldier Spy,,,,
Titan A.E.,2000,,,
Titanic,,,,
Titta vi Flyger,,,,
Tomb Raider,,,,
Total Recall,,,,
"Tourist, The",,,,
Toy Story,,,,
Toy Story 2,,,,
Toy Story 3,,,,
Trading Places,,,,
Transcendence,,,,
Transformers,,,,
Transformers: Age of Extinction,,,,
Transformers: Dark of the Moon,,,,
Transformers: Revenge of the Fallen,,,,
"Transporter 2, The",,,,
"Transporter, The",,,,
Tropic Thunder,,,,
True Romance,,,,
"Truman Show, The",,,,
T�rtan,,,,
Unbreakable,2000,,,
Unbroken,2014,,,
Up,,,,
V for Vendetta,2006,,,
Valerian and the City of a Thousand Planets,2017,,,
Van Helsing,,,,
"Walk, The",,,,
Wall Street,,,,
Wall Street: Money never sleeps,,,,
Wall-E,,,,
War Dogs,2016,,,
War of the Planets of the Apes,2017,,,
Watchmen,,,,
Wedding Crashers,2005,,,
Westworld,,,,
"What's up, Doc?",,,,
"Wizard of Oz, The (1939)",,,,
World War Z,,,,
X-Men Origins: Wolverine,,,,
X-Men: Days of Future Past,,,,
Yes Man,,,,
"You, Me and Dupree",2006,,,
Zodiac,2007,,,
Zombieland,,,,
Zoolander,,,,
Zoolander 2,,,,
Zorro: Den maskerade h�mnaren,,,,
�nglag�rd,,,,
L�t den r�tte komma in,2008,,,
The Fighter,2010,,,
First Blood,1982,,,
Spider-Man: Into the Spider-Verse,2019,,,
Space Jam,1996,,,
About time,2013,,,
The Secret Life of Walter Mitty,2013,,,
6 Underground,2019,,,
Once upon Upon a Time in Hollywood,2019,,,
The Equalizer 2,2018,,,
Aladdin,2019,,,
Men in Black: International,2019,,,
Face/Off,1997,,,
Greven av Monte Cristo,,,,
Stuber,2019,,,
Bad times at the El Royale,2018,,,
Shutter Island,2010,,,
First Man,2018,,,
Insurgent,2015,,,
"Finest Hours, The",2016,,,
Fast and Furious: Hobbs and Shaw,2020,,,
Good Boys,2019,,,
Rambo: Last Blood,2019,,,
Snowpiercer,2013,,,
Zombieland: Double Tap,2019,,,
The Proposal,2009,,,
The Social Network,2010,,,
Bloodshot,2020,,,
1917,2019,,,
Ford v Ferrari (Le Mans '66),2019,,,
The Rock,1996,,,
13 Hours,2016,,,
Long Shot,2019,,,
John Wick: Chapter 3 - Parabellum,2019,,,
Jack Reacher: Never Go Back,2016,,,
The Commuter,2018,,,
Into the Storm,2014,,,
Conan the Barbarian,2011,,,
Doctor Sleep,2019,,,
From Dusk Till Dawn,1996,,,
Jojo Rabbit,2019,,,
21 Bridges,2019,,,
Vaiana (Moana),2016,,,
Jumanji: Welcome to the Jungle,2017,,,
Jumanji: The Next Level,2019,,,
2 Guns,2013,,,
Badlands,1973,,,
All the President's Men,1976,,,
Inside Man,2006,,,
Jack Ryan: Shadow Recruit,2014,,,
Midnight Express,1978,,,
American Psycho,2000,,,
Lone Survivor,2013,,,
Parker,2013,,,
Dinner for Schmucks,2010,,,
Redemption (Hummingbird),2013,,,
Contagion,2011,,,
The Gentlemen,2019,,,
Raising Cain,1992,,,
The Shallows,2016,,,
Homefront,2013,,,
Nightcrawler,2014,,,
House MD (Serie),2004,,,
White House Down,2013,,,
Clash of the Titans,2010,,,
The Nice Guys,2016,,,
Insomnia,2002,,,
Zack Snyder's Justice League,2021,,,
The Book of Eli,2010,,,
The Last Samurai,2003,,,
The Legend of Tarzan,2016,,,
Moneyball,2011,,,
Lawless,2012,,,
Alita: Battle Angel,2019,,,
Logan Lucky,2017,,,
Sully,2016,,,
What's Eating Gilbert Grape,1993,,,
Bacherlor Party,1984,,,
A History of Violence,2005,,,
The French Connection,1971,,,
The Kid Detective,2020,,,
Snowden,2016,,,
Southpaw,2015,,,
Mortal Kombat,2021,,,
Dolores Claiborne,1995,,,
Detecive Pikachu,2019,,,
The Great Wall,2016,,,
Wrath of Man,2021,,,
American Assassin,2017,,,
Warcraft,2016,,,
Passengers,2016,,,
Molly's Game,2017,,,
Baywatch,2017,,,
Pitch Perfect,2012,,,
No Time To Die,2021,,,
